Статья КоАП РФ;Часть;Вид правонарушения;Санкция
Статья 12.5 Управление транспортным средством при наличии неисправностей или условий при которых эксплуатация транспортных средств запрещена;ч. 4.1;Управление транспортным средством на котором незаконно установлен опознавательный фонарь легкового такси или опознавательный знак Инвалид;штраф 5 тыс. руб. с конфискацией предмета административного правонарушения
Статья 12.5 Управление транспортным средством при наличии неисправностей или условий при которых эксплуатация транспортных средств запрещена;ч. 5;Использование при движении транспортного средства устройств для подачи специальных световых или звуковых сигналов (за исключением охранной сигнализации) установленных без соответствующего разрешения;лишение прав на 1,5-2 года с конфискацией указанных устройств
Статья 12.5 Управление транспортным средством при наличии неисправностей или условий при которых эксплуатация транспортных средств запрещена;ч. 6;Управление транспортным средством на наружные поверхности которого незаконно нанесены специальные цветографические схемы автомобилей оперативных служб;лишение прав на 1-1,5 года
Статья 12.5 Управление транспортным средством при наличии неисправностей или условий при которых эксплуатация транспортных средств запрещена;ч. 7;Управление транспортным средством на которое незаконно нанесена цветографическая схема легкового такси;штраф 5 тыс. руб.
Статья 12.6 Нарушение правил применения ремней безопасности или мотошлемов;;Управление транспортным средством водителем не пристегнутым ремнем безопасности перевозка пассажиров не пристегнутых ремнями безопасности а равно управление мотоциклом или мопедом либо перевозка на мотоцикле пассажиров без мотошлемов или в незастегнутых мотошлемах;штраф 1500 руб.
Статья 12.7 Управление транспортным средством водителем не имеющим права управления транспортным средством;ч. 1;Управление транспортным средством водителем не имеющим права управления транспортным средством (за исключением учебной езды);штраф 5 тыс.-15 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.7 Управление транспортным средством водителем не имеющим права управления транспортным средством;ч. 2;Управление транспортным средством водителем лишенным права управления транспортными средствами;арест до 15 суток или штраф 30 тыс. руб. или обязательные работы на срок от 100 до 200 часов; задержание т/с помещение на спецстоянку
Статья 12.7 Управление транспортным средством водителем не имеющим права управления транспортным средством;ч. 3;Передача управления транспортным средством лицу заведомо не имеющему права управления транспортным средством (за исключением учебной езды) или лишенному такого права;штраф 30 тыс. руб.
Статья 12.7 Управление транспортным средством водителем не имеющим права управления транспортным средством;ч. 4;Повторное совершение административного правонарушения предусмотренного ч. 2 если такое действие не содержит признаков уголовно наказуемого деяния;штраф 50 тыс.-100 тыс. руб. или обязательные работы на срок от 150 до 200 часов; задержание т/с помещение на спецстоянку
Статья 12.8 Управление транспортным средством водителем находящимся в состоянии опьянения;ч. 1;Управление транспортным средством водителем находящимся в состоянии опьянения если такие действия не содержат уголовно наказуемого деяния;штраф 45 тыс. руб. с лишением прав на 1,5-2 года; задержание т/с помещение на спецстоянку
Статья 12.8 Управление транспортным средством водителем находящимся в состоянии опьянения;ч. 2;Передача управления транспортным средством лицу находящемуся в состоянии опьянения;штраф 45 тыс. руб. с лишением прав на 1,5-2 года
Статья 12.8 Управление транспортным средством водителем находящимся в состоянии опьянения;ч. 3;Управление транспортным средством водителем находящимся в состоянии опьянения и не имеющим права управления транспортными средствами либо лишенным права управления транспортными средствами если такие действия не содержат уголовно наказуемого деяния;арест от 10 до 15 суток или штраф 45 тыс. руб. для лиц в отношении которых не может применяться административный арест; задержание т/с помещение на спецстоянку
Статья 12.9 Превышение установленной скорости движения;ч. 2;Превышение установленной скорости движения транспортного средства на величину более 20 но не более 40 км/ч;штраф 750 руб.
Статья 12.9 Превышение установленной скорости движения;ч. 3;Превышение установленной скорости движения транспортного средства на величину более 40 но не более 60 км/ч;штраф 1500-2250 руб.
Статья 12.9 Превышение установленной скорости движения;ч. 4;Превышение установленной скорости движения транспортного средства на величину более 60 но не более 80 км/ч;штраф 3000-3750 руб. или лишение прав на 4-6 месяцев
Статья 12.9 Превышение установленной скорости движения;ч. 5;Превышение установленной скорости движения транспортного средства на величину более 80 км/ч;штраф 7500 руб. или лишение прав на 6 месяцев; при фиксации автоматическими средствами штраф 7500 руб.
Статья 12.9 Превышение установленной скорости движения;ч. 6;Повторное совершение административного правонарушения предусмотренного ч. 3;штраф 3000-3750 руб.
Статья 12.9 Превышение установленной скорости движения;ч. 7;Повторное совершение административного правонарушения предусмотренного ч. 4 и 5;лишение прав на 1 год; при фиксации автоматическими средствами штраф 7500 руб.
Статья 12.10 Нарушение правил движения через железнодорожные пути;ч. 1;Пересечение железнодорожного пути вне железнодорожного переезда выезд на железнодорожный переезд при закрытом или закрывающемся шлагбауме либо при запрещающем сигнале светофора или дежурного по переезду остановка или стоянка на железнодорожном переезде;штраф 5 тыс. руб. или лишение прав на 3-6 месяцев
Статья 12.10 Нарушение правил движения через железнодорожные пути;ч. 2;Нарушение правил проезда через железнодорожные переезды за исключением случаев предусмотренных ч. 1;штраф 5 тыс. руб.
Статья 12.10 Нарушение правил движения через железнодорожные пути;ч. 3;Повторное совершение административного правонарушения предусмотренного ч. 1;лишение прав на 1 год
Статья 12.11 Нарушение правил движения по автомагистрали;ч. 1;Движение по автомагистрали на транспортном средстве скорость которого по технической характеристике или по его состоянию менее 40 км/ч а равно остановка транспортного средства на автомагистрали вне специальных площадок для стоянки;штраф 1000 руб.
